Immatriculations de voitures particulières neuves par source d'énergie en France,,,,,,,,,,,,,,,
"Source : SDES, RSVERO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Voitures neuves,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total,"2,274,382","2,227,506","1,920,672","1,816,678","1,827,179","1,955,937","2,060,169","2,157,670","2,223,581","2,258,277","1,693,530","1,708,675","1,576,950","1,817,346","1,755,167"
Électrique et hydrogène,187,"2,637","5,671","8,901","10,741","17,540","22,220","25,425","31,723","43,627","112,710","165,627","207,364","303,895","295,584"
Essence - thermique,"587,578","595,398","494,357","548,706","610,127","763,215","910,617","1,034,534","1,224,694","1,322,937","802,718","700,919","611,179","672,749","530,224"
Essence - hybride non rechargeable,"9,930","13,166","17,839","33,402","33,380","37,642","48,420","70,320","90,727","97,951","149,738","262,497","316,690","420,145","585,851"
Diesel - thermique,"1,600,745","1,603,318","1,389,931","1,207,895","1,159,014","1,110,732","1,065,952","1,013,099","856,583","761,198","513,168","354,949","241,783","172,885","125,820"
Diesel - hybride non rechargeable,.,753,"9,984","13,944","9,474","19,295","4,733","1,031","2,794","11,434","23,578","36,979","25,547","21,955","13,870"
Hybride rechargeable,83,56,667,854,"2,058","5,820","7,632","12,089","14,753","18,789","74,961","141,242","127,436","162,835","147,094"
Gaz ,"75,747","12,080","2,084","2,869","2,348","1,635",509,"1,060","2,296","2,338","16,656","46,462","46,951","62,882","56,724"
non déterminé,112,98,139,107,37,58,86,112,11,3,1,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Immatriculations de voitures particulières d'occasion par source d'énergie en France,,,,,,,,,,,,,,,
"Source : SDES, RSVERO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Voitures d'occasions,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total,"5,492,348","5,545,309","5,490,717","5,487,360","5,551,972","5,641,862","5,739,764","5,779,855","5,728,738","5,872,819","5,692,045","6,154,088","5,340,411","5,328,548","5,485,257"
Électrique et hydrogène,148,187,549,"1,762","3,083","3,788","4,735","8,466","13,162","20,317","29,024","59,002","74,630","90,592","139,639"
Essence - thermique,"1,857,485","1,835,472","1,753,368","1,713,139","1,720,777","1,796,393","1,856,157","1,966,022","2,033,492","2,182,083","2,254,212","2,423,540","2,195,033","2,162,617","2,228,847"
Essence - hybride non rechargeable,"6,016","7,775","10,237","13,992","17,722","21,630","25,056","36,479","45,808","58,197","81,082","151,358","168,534","211,284","330,346"
Diesel - thermique,"3,606,405","3,683,563","3,707,321","3,735,373","3,785,181","3,792,450","3,818,491","3,732,578","3,597,839","3,570,992","3,273,840","3,417,468","2,783,808","2,713,846","2,568,907"
Diesel - hybride non rechargeable,.,.,"1,558","4,513","6,679","9,130","13,596","13,044","12,869","14,120","15,466","23,550","24,547","31,235","40,060"
Hybride rechargeable,24,35,128,392,587,"1,573","5,184","7,060","9,759","12,286","22,150","55,819","69,453","89,269","140,369"
Gaz ,"18,232","18,093","17,346","18,017","17,735","16,704","16,299","15,991","15,511","14,559","16,072","23,156","24,241","29,538","36,961"
non déterminé,"4,038",184,210,172,208,194,246,215,298,265,199,195,165,167,128
